Ref,Val,Package,PosX,PosY,Rot,Side
"K1","CPG151101S11-16","MX-Hotswap-1U",47.625000,-47.625000,0.000000,top
"K2","CPG151101S11-16","MX-Hotswap-1U",47.625000,-66.675000,0.000000,top
"K3","CPG151101S11-16","MX-Hotswap-1U",47.625000,-85.725000,0.000000,top
"K4","CPG151101S11-16","MX-Hotswap-1U",47.625000,-104.775000,0.000000,top
"K5","CPG151101S11-16","MX-Hotswap-1U",47.625000,-123.825000,0.000000,top
"K6","CPG151101S11-16","MX-Hotswap-1U",47.625000,-142.875000,0.000000,top
"K7","CPG151101S11-16","MX-Hotswap-1U",66.675000,-47.625000,0.000000,top
"K8","CPG151101S11-16","MX-Hotswap-1U",66.675000,-66.675000,0.000000,top
"K9","CPG151101S11-16","MX-Hotswap-1U",66.675000,-85.725000,0.000000,top
"K10","CPG151101S11-16","MX-Hotswap-1U",66.675000,-104.775000,0.000000,top
"K11","CPG151101S11-16","MX-Hotswap-1U",66.675000,-123.825000,0.000000,top
"K12","CPG151101S11-16","MX-Hotswap-1U",66.675000,-142.875000,0.000000,top
"K13","CPG151101S11-16","MX-Hotswap-1U",90.487500,-47.625000,0.000000,top
"K14","CPG151101S11-16","MX-Hotswap-1U",90.487500,-66.675000,0.000000,top
"K15","CPG151101S11-16","MX-Hotswap-1U",90.487500,-85.725000,0.000000,top
"K16","CPG151101S11-16","MX-Hotswap-1U",90.487500,-104.775000,0.000000,top
"K17","CPG151101S11-16","MX-Hotswap-1U",90.487500,-123.825000,0.000000,top
"K18","CPG151101S11-16","MX-Hotswap-1U",90.487500,-142.875000,0.000000,top
"K19","CPG151101S11-16","MX-Hotswap-1U",109.537500,-47.625000,0.000000,top
"K20","CPG151101S11-16","MX-Hotswap-1U",109.537500,-66.675000,0.000000,top
"K21","CPG151101S11-16","MX-Hotswap-1U",109.537500,-85.725000,0.000000,top
"K22","CPG151101S11-16","MX-Hotswap-1U",109.537500,-104.775000,0.000000,top
"K23","CPG151101S11-16","MX-Hotswap-1U",109.537500,-123.825000,0.000000,top
"K24","CPG151101S11-16","MX-Hotswap-1U",109.537500,-142.875000,0.000000,top
"K25","CPG151101S11-16","MX-Hotswap-1U",133.350000,-47.625000,0.000000,top
"K26","CPG151101S11-16","MX-Hotswap-1U",133.350000,-66.675000,0.000000,top
"K27","CPG151101S11-16","MX-Hotswap-1U",133.350000,-85.725000,0.000000,top
"K28","CPG151101S11-16","MX-Hotswap-1U",133.350000,-104.775000,0.000000,top
"K29","CPG151101S11-16","MX-Hotswap-1U",133.350000,-123.825000,0.000000,top
"K30","CPG151101S11-16","MX-Hotswap-1U",133.350000,-142.875000,0.000000,top
"K31","CPG151101S11-16","MX-Hotswap-1U",152.400000,-47.625000,0.000000,top
"K32","CPG151101S11-16","MX-Hotswap-1U",152.400000,-66.675000,0.000000,top
"K33","CPG151101S11-16","MX-Hotswap-1U",152.400000,-85.725000,0.000000,top
"K34","CPG151101S11-16","MX-Hotswap-1U",152.400000,-104.775000,0.000000,top
"K35","CPG151101S11-16","MX-Hotswap-1U",152.400000,-123.825000,0.000000,top
"K36","CPG151101S11-16","MX-Hotswap-1U",152.400000,-142.875000,0.000000,top
"K37","CPG151101S11-16","MX-Hotswap-1U",176.212500,-47.625000,0.000000,top
"K38","CPG151101S11-16","MX-Hotswap-1U",176.212500,-66.675000,0.000000,top
"K39","CPG151101S11-16","MX-Hotswap-1U",176.212500,-85.725000,0.000000,top
"K40","CPG151101S11-16","MX-Hotswap-1U",176.212500,-104.775000,0.000000,top
"K41","CPG151101S11-16","MX-Hotswap-1U",176.212500,-123.825000,0.000000,top
"K42","CPG151101S11-16","MX-Hotswap-1U",176.212500,-142.875000,0.000000,top
"K43","CPG151101S11-16","MX-Hotswap-1U",195.262500,-47.625000,0.000000,top
"K44","CPG151101S11-16","MX-Hotswap-1U",195.262500,-66.675000,0.000000,top
"K45","CPG151101S11-16","MX-Hotswap-1U",195.262500,-85.725000,0.000000,top
"K46","CPG151101S11-16","MX-Hotswap-1U",195.262500,-104.775000,0.000000,top
"K47","CPG151101S11-16","MX-Hotswap-1U",195.262500,-123.825000,0.000000,top
"K48","CPG151101S11-16","MX-Hotswap-1U",195.262500,-142.875000,0.000000,top
"K49","CPG151101S11-16","MX-Hotswap-1U",219.075000,-47.625000,0.000000,top
"K50","CPG151101S11-16","MX-Hotswap-1U",219.075000,-66.675000,0.000000,top
"K51","CPG151101S11-16","MX-Hotswap-1U",219.075000,-85.725000,0.000000,top
"K52","CPG151101S11-16","MX-Hotswap-1U",219.075000,-104.775000,0.000000,top
"K53","CPG151101S11-16","MX-Hotswap-1U",219.075000,-123.825000,0.000000,top
"K54","CPG151101S11-16","MX-Hotswap-1U",219.075000,-142.875000,0.000000,top
"K55","CPG151101S11-16","MX-Hotswap-1U",238.125000,-47.625000,0.000000,top
"K56","CPG151101S11-16","MX-Hotswap-1U",238.125000,-66.675000,0.000000,top
"K57","CPG151101S11-16","MX-Hotswap-1U",238.125000,-85.725000,0.000000,top
"K58","CPG151101S11-16","MX-Hotswap-1U",238.125000,-104.775000,0.000000,top
"K59","CPG151101S11-16","MX-Hotswap-1U",238.125000,-123.825000,0.000000,top
"K60","CPG151101S11-16","MX-Hotswap-1U",238.125000,-142.875000,0.000000,top
"K61","CPG151101S11-16","MX-Hotswap-1U",261.937500,-47.625000,0.000000,top
"K62","CPG151101S11-16","MX-Hotswap-1U",261.937500,-66.675000,0.000000,top
"K63","CPG151101S11-16","MX-Hotswap-1U",261.937500,-85.725000,0.000000,top
"K64","CPG151101S11-16","MX-Hotswap-1U",261.937500,-104.775000,0.000000,top
"K65","CPG151101S11-16","MX-Hotswap-1U",261.937500,-123.825000,0.000000,top
"K66","CPG151101S11-16","MX-Hotswap-1U",261.937500,-142.875000,0.000000,top
"K67","CPG151101S11-16","MX-Hotswap-1U",280.987500,-47.625000,0.000000,top
"K68","CPG151101S11-16","MX-Hotswap-1U",280.987500,-66.675000,0.000000,top
"K69","CPG151101S11-16","MX-Hotswap-1U",280.987500,-85.725000,0.000000,top
"K70","CPG151101S11-16","MX-Hotswap-1U",280.987500,-104.775000,0.000000,top
"K71","CPG151101S11-16","MX-Hotswap-1U",280.987500,-123.825000,0.000000,top
"K72","CPG151101S11-16","MX-Hotswap-1U",280.987500,-142.875000,0.000000,top
"K73","CPG151101S11-16","MX-Hotswap-1U",304.800000,-47.625000,0.000000,top
"K74","CPG151101S11-16","MX-Hotswap-1U",304.800000,-66.675000,0.000000,top
"K75","CPG151101S11-16","MX-Hotswap-1U",304.800000,-85.725000,0.000000,top
"K76","CPG151101S11-16","MX-Hotswap-1U",304.800000,-104.775000,0.000000,top
"K77","CPG151101S11-16","MX-Hotswap-1U",304.800000,-123.825000,0.000000,top
"K78","CPG151101S11-16","MX-Hotswap-1U",304.800000,-142.875000,0.000000,top
"K79","CPG151101S11-16","MX-Hotswap-1U",323.850000,-47.625000,0.000000,top
"K80","CPG151101S11-16","MX-Hotswap-1U",323.850000,-66.675000,0.000000,top
"K81","CPG151101S11-16","MX-Hotswap-1U",323.850000,-85.725000,0.000000,top
"K82","CPG151101S11-16","MX-Hotswap-1U",323.850000,-104.775000,0.000000,top
"K83","CPG151101S11-16","MX-Hotswap-1U",323.850000,-123.825000,0.000000,top
"K84","CPG151101S11-16","MX-Hotswap-1U",323.850000,-142.875000,0.000000,top
"K85","CPG151101S11-16","MX-Hotswap-1U",347.662500,-47.625000,0.000000,top
"K86","CPG151101S11-16","MX-Hotswap-1U",347.662500,-66.675000,0.000000,top
"K87","CPG151101S11-16","MX-Hotswap-1U",347.662500,-85.725000,0.000000,top
"K88","CPG151101S11-16","MX-Hotswap-1U",347.662500,-104.775000,0.000000,top
"K89","CPG151101S11-16","MX-Hotswap-1U",347.662500,-123.825000,0.000000,top
"K90","CPG151101S11-16","MX-Hotswap-1U",347.662500,-142.875000,0.000000,top
"K91","CPG151101S11-16","MX-Hotswap-1U",366.712500,-47.625000,0.000000,top
"K92","CPG151101S11-16","MX-Hotswap-1U",366.712500,-66.675000,0.000000,top
"K93","CPG151101S11-16","MX-Hotswap-1U",366.712500,-85.725000,0.000000,top
"K94","CPG151101S11-16","MX-Hotswap-1U",366.712500,-104.775000,0.000000,top
"K95","CPG151101S11-16","MX-Hotswap-1U",366.712500,-123.825000,0.000000,top
"K96","CPG151101S11-16","MX-Hotswap-1U",366.712500,-142.875000,0.000000,top
"K97","CPG151101S11-16","MX-Hotswap-1U",390.525000,-47.625000,0.000000,top
"K98","CPG151101S11-16","MX-Hotswap-1U",390.525000,-66.675000,0.000000,top
"K99","CPG151101S11-16","MX-Hotswap-1U",390.525000,-85.725000,0.000000,top
"K100","CPG151101S11-16","MX-Hotswap-1U",390.525000,-104.775000,0.000000,top
"K101","CPG151101S11-16","MX-Hotswap-1U",390.525000,-123.825000,0.000000,top
"K102","CPG151101S11-16","MX-Hotswap-1U",390.525000,-142.875000,0.000000,top
"K103","CPG151101S11-16","MX-Hotswap-1U",409.575000,-47.625000,0.000000,top
"K104","CPG151101S11-16","MX-Hotswap-1U",409.575000,-66.675000,0.000000,top
"K105","CPG151101S11-16","MX-Hotswap-1U",409.575000,-85.725000,0.000000,top
"K106","CPG151101S11-16","MX-Hotswap-1U",409.575000,-104.775000,0.000000,top
"K107","CPG151101S11-16","MX-Hotswap-1U",409.575000,-123.825000,0.000000,top
"K108","CPG151101S11-16","MX-Hotswap-1U",409.575000,-142.875000,0.000000,top
